stationId,locationId,facilityType,station_name,address,device_count,open_time,update_time
587514,648339,2,高新区瑞达路·直流充电站6号,河南省郑州市高新区瑞达路,1,00:00-24:00,2019/7/26
594591,461655,3,高新区科学大道·交直流充电站7号,河南省郑州市高新区科学大道,4,00:00-24:00,2019/7/26
612116,461655,3,高新区科学大道·交直流充电站8号,河南省郑州市高新区科学大道,3,00:00-24:00,2019/7/26
616125,700367,2,经开区经北六路·直流充电站1号,河南省郑州市经开区经北六路,1,00:00-24:00,2019/7/26
623134,620906,3,郑东新区东风东路·交直流充电站3号,河南省郑州市郑东新区东风东路,2,00:00-24:00,2019/7/26
632920,461655,3,高新区科学大道·交直流充电站9号,河南省郑州市高新区科学大道,4,00:00-24:00,2019/7/26
638536,868085,3,二七区淮河路·交直流充电站3号,河南省郑州市二七区淮河路,9,00:00-24:00,2019/7/26
643012,517854,3,金水区经三路·交直流充电站1号,河南省郑州市金水区经三路,4,00:00-24:00,2019/7/26
653450,503205,3,上街区中心路·交直流充电站3号,河南省郑州市上街区中心路,8,00:00-24:00,2019/7/26
664306,868085,3,二七区淮河路·交直流充电站4号,河南省郑州市二七区淮河路,12,00:00-24:00,2019/7/26
672450,202527,3,中原区建设路·交直流充电站4号,河南省郑州市中原区建设路,3,00:00-24:00,2019/7/26
693651,503205,3,上街区中心路·交直流充电站4号,河南省郑州市上街区中心路,1,00:00-24:00,2019/7/26
711566,928191,3,郑东新区金水东路·交直流充电站5号,河南省郑州市郑东新区金水东路,2,00:00-24:00,2019/7/26
728918,928191,3,郑东新区金水东路·交直流充电站6号,河南省郑州市郑东新区金水东路,11,00:00-24:00,2019/7/26
729642,517854,3,金水区经三路·交直流充电站2号,河南省郑州市金水区经三路,1,00:00-24:00,2019/7/26
730023,878393,1,中原区西三环·交流充电站2号,河南省郑州市中原区西三环,3,00:00-24:00,2019/7/26
738900,976902,3,经开区第八大街·交直流充电站6号,河南省郑州市经开区第八大街,6,00:00-24:00,2019/7/26
758780,399399,2,惠济区文化路·直流充电站3号,河南省郑州市惠济区文化路,4,00:00-24:00,2019/7/26
782629,517854,3,金水区经三路·交直流充电站3号,河南省郑州市金水区经三路,3,00:00-24:00,2019/7/26
787792,648339,2,高新区瑞达路·直流充电站7号,河南省郑州市高新区瑞达路,2,00:00-24:00,2019/7/26
792421,202527,3,中原区建设路·交直流充电站5号,河南省郑州市中原区建设路,3,00:00-24:00,2019/7/26
801274,976902,3,经开区第八大街·交直流充电站7号,河南省郑州市经开区第八大街,8,00:00-24:00,2019/7/26
803398,144857,2,二七区大学路·直流充电站4号,河南省郑州市二七区大学路,5,00:00-24:00,2019/7/26
818217,700367,2,经开区经北六路·直流充电站2号,河南省郑州市经开区经北六路,1,00:00-24:00,2019/7/26
861532,454147,3,郑东新区CBD·交直流充电站1号,河南省郑州市郑东新区CBD,1,00:00-24:00,2019/7/26
863084,751082,4,管城区陇海路·超充充电站1号,河南省郑州市管城区陇海路,3,00:00-24:00,2019/7/26
864630,648339,2,高新区瑞达路·直流充电站8号,河南省郑州市高新区瑞达路,1,00:00-24:00,2019/7/26
871619,125372,2,金水区花园路·直流充电站2号,河南省郑州市金水区花园路,3,00:00-24:00,2019/7/26
874950,814002,2,金水区北三环·直流充电站3号,河南省郑州市金水区北三环,6,00:00-24:00,2019/7/26
875343,747048,1,惠济区天河路·交流充电站1号,河南省郑州市惠济区天河路,8,00:00-24:00,2019/7/26
878706,461655,3,高新区科学大道·交直流充电站10号,河南省郑州市高新区科学大道,15,00:00-24:00,2019/7/26
884707,648339,2,高新区瑞达路·直流充电站9号,河南省郑州市高新区瑞达路,2,00:00-24:00,2019/7/26
891421,144857,2,二七区大学路·直流充电站5号,河南省郑州市二七区大学路,4,00:00-24:00,2019/7/26
894409,928191,3,郑东新区金水东路·交直流充电站7号,河南省郑州市郑东新区金水东路,1,00:00-24:00,2019/7/26
902592,566549,3,二七区嵩山路·交直流充电站4号,河南省郑州市二七区嵩山路,9,00:00-24:00,2019/7/26
911231,202527,3,中原区建设路·交直流充电站6号,河南省郑州市中原区建设路,2,00:00-24:00,2019/7/26
914305,648339,2,高新区瑞达路·直流充电站10号,河南省郑州市高新区瑞达路,2,00:00-24:00,2019/7/26
914907,648339,2,高新区瑞达路·直流充电站11号,河南省郑州市高新区瑞达路,1,00:00-24:00,2019/7/26
920264,461655,3,高新区科学大道·交直流充电站11号,河南省郑州市高新区科学大道,4,00:00-24:00,2019/7/26
922416,648339,2,高新区瑞达路·直流充电站12号,河南省郑州市高新区瑞达路,1,00:00-24:00,2019/7/26
926676,648339,2,高新区瑞达路·直流充电站13号,河南省郑州市高新区瑞达路,1,00:00-24:00,2019/7/26
929628,751082,4,管城区陇海路·超充充电站2号,河南省郑州市管城区陇海路,2,00:00-24:00,2019/7/26
932939,868085,3,二七区淮河路·交直流充电站5号,河南省郑州市二七区淮河路,6,00:00-24:00,2019/7/26
943765,461655,3,高新区科学大道·交直流充电站12号,河南省郑州市高新区科学大道,2,00:00-24:00,2019/7/26
944515,976902,3,经开区第八大街·交直流充电站8号,河南省郑州市经开区第八大街,14,00:00-24:00,2019/7/26
944575,928191,3,郑东新区金水东路·交直流充电站8号,河南省郑州市郑东新区金水东路,4,00:00-24:00,2019/7/26
946482,399399,2,惠济区文化路·直流充电站4号,河南省郑州市惠济区文化路,1,00:00-24:00,2019/7/26
951880,144857,2,二七区大学路·直流充电站6号,河南省郑州市二七区大学路,6,00:00-24:00,2019/7/26
955429,493904,1,航空港区迎宾大道·交流充电站2号,河南省郑州市航空港区迎宾大道,32,00:00-24:00,2019/7/26
981639,572514,3,中原区桐柏路·交直流充电站1号,河南省郑州市中原区桐柏路,1,00:00-24:00,2019/7/26
987396,978130,2,航空港区长安路·直流充电站3号,河南省郑州市航空港区长安路,11,00:00-24:00,2019/7/26
988981,648339,2,高新区瑞达路·直流充电站14号,河南省郑州市高新区瑞达路,1,00:00-24:00,2019/7/26
989457,620906,3,郑东新区东风东路·交直流充电站4号,河南省郑州市郑东新区东风东路,1,00:00-24:00,2019/7/26
995505,868085,3,二七区淮河路·交直流充电站6号,河南省郑州市二七区淮河路,5,00:00-24:00,2019/7/26
